Company name,Website,Industry Vertical,Aviation,Automotive,Agriculture,Banking/Finance/Insurance,Construction,Chemicals/Life Sciences,Education,Energy/Utilities,Defense/Security,Government,Health,Hospitality,Logistics,Manufacturing,Media/Entertainment,Public Sector,Retail and eCommerce,Transport,Travel,Telecommunications,BICS Product Area,Personal Contact,Conference,Company Size,North America,LATAM,UK,Europe,MEA,APAC,Annual Revenue,Annual Employee Growth (%),Buyer Interest,Salesforce Status,Lead became Opportunity,Comment
Crayon,,Consulting,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,Yes,Yes,2700000000,20,Neutral,Prospect With Opportunities,No,
Deloitte,,Consulting,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,50200000000,16,Moderate,Prospect With Opportunities,No,
CallTower,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,55400000,3,Negative,Prospect With Opportunities,Yes,
Ericsson,,Hyperscalers,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Numbers and Voice,No,Yes,10001+,Yes,Yes,Yes,Yes,No,Yes,22900000000,1,High,Prospect With Opportunities,Yes,
Inetum,,System Integrator,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,Yes,10001+,Yes,Yes,Yes,Yes,Yes,Yes,6600000000,18,Neutral,Prospect With Opportunities,Yes,
Singlewire,,CCSPs,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Messaging,No,Yes,51-200,Yes,No,No,No,No,No,21000000,13,Neutral,Prospect With Opportunities,Yes,
Fortis Communications,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Messaging,No,No,0-50,Yes,No,No,No,No,No,4600000,3,High,Prospect With Opportunities,Yes,
Everbridge,,Software,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Messaging,No,Yes,1001-5000,Yes,No,Yes,Yes,Yes,Yes,386000000,10,Neutral,Prospect With Opportunities,Yes,
CallHippo,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,4900000,12,Neutral,Prospect With Opportunities,Yes,
Telent,,System Integrator,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,IOT,No,No,1001-5000,No,No,Yes,No,No,No,686700000,1,Neutral,Prospect With Opportunities,Yes,
HCL Technologies,,System Integrator,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Numbers and Voice,No,Yes,10001+,Yes,Yes,Yes,Yes,Yes,Yes,10800000000,10,Moderate,Prospect With Opportunities,Yes,
AloTech,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,Yes,Yes,No,No,10000000,35,Neutral,Prospect With Opportunities,Yes,
HPS Worldwide,,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Messaging,No,No,1001-5000,No,No,No,Yes,Yes,Yes,45600000,7,Neutral,Prospect With Opportunities,Yes,
Phone2,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,203000,40,High,Prospect With Opportunities,Yes,
Infosys,,System Integrator,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Numbers and Voice,Yes,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,16300000000,10,Moderate,Prospect With Opportunities,Yes,
Getronics,,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Yes,No,5001-10000,No,Yes,Yes,Yes,Yes,Yes,661200000,1,Neutral,Prospect With Opportunities,Yes,
Damovo,,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,No,Yes,No,Yes,No,No,253100000,3,Moderate,Marketing Qualification,No,
Tech Mahindra,,System Integrator,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,5700000000,11,Moderate,Marketing Qualification,No,
Netfortris,,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,65500000,-4,Neutral,Marketing Qualification,No,
Cheops,,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,No,No,No,Yes,No,No,35400000,14,High,Marketing Qualification,No,
JourneyTEAM,,System Integrator,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,8700000,23,Negative,Marketing Qualification,No,
Vology,https://www.vology.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,62400000,-15,Neutral,Marketing Qualification,No,
BlackPoint,https://blackpoint-it.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,20700000,3,Neutral,Marketing Qualification,No,
Softchoice,https://www.softchoice.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,No,No,No,No,892800000,9,Negative,Marketing Qualification,No,
Gordon Flesch Company,https://www.gflesch.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,Yes,No,No,No,No,No,9500000,0,Neutral,Marketing Qualification,No,
Lighthouse Technology Partners,https://lighthousemsp.com/,System Integrator,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,11000000,-11,Neutral,Marketing Qualification,No,
Cognizant,https://www.cognizant.com,System Integrator,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,No,Yes,19000000000,8,Moderate,Prospect Without Opportunities,No,
ITsavvy,https://www.itsavvy.com/,System Integrator,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,58400000,12,Neutral,Marketing Qualification,No,
Improving,https://improving.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,No,No,No,No,68300000,23,Neutral,Marketing Qualification,No,
Network Center,https://www.netcenter.net/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,20000000,-1,Neutral,Marketing Qualification,No,
Heartland Business Systems,https://www.hbs.net/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,218600000,14,Neutral,Marketing Qualification,No,
Convergent Computing (CCO),https://www.cco.com/,System Integrator,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,17100000,8,Neutral,Marketing Qualification,No,
Arraya Solutions,https://www.arrayasolutions.com/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,22600000,-3,Neutral,Marketing Qualification,No,
Sirius Computer Solutions,https://www.siriuscom.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,No,No,No,No,633700000,0,Neutral,Marketing Qualification,No,
Dataprise,https://www.dataprise.com/,System Integrator,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,62700000,2,Neutral,Marketing Qualification,No,
Virtuworks,https://www.virtuworks.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,4800000,7,Neutral,Marketing Qualification,No,
The Henson Group,https://www.hensongroup.com/,System Integrator,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Numbers and Voice,No,No,201-500,Yes,Yes,Yes,Yes,Yes,Yes,26900000,0,Neutral,Marketing Qualification,No,
BDO USA,https://www.bdo.com/digital,System Integrator,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,Yes,Yes,Yes,9600000000,65,Neutral,Marketing Qualification,No,
Computer Solutions East,https://www.computersolutionseast.com/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,Yes,3100000,11,Neutral,Marketing Qualification,No,
Cased Dimensions,https://www.caseddimensions.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,Yes,No,No,No,22600000,-9,Neutral,Marketing Qualification,No,
Burwood Group,https://www.burwood.com/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,68000000,12,Neutral,Marketing Qualification,No,
World Wide Technology,https://www.wwt.com/,System Integrator,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Numbers and Voice,No,No,5001-10000,Yes,No,Yes,Yes,No,No,14500000000,12,Negative,Marketing Qualification,No,
Data Networks,https://www.datanetworks.com/,System Integrator,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,35800000,3,Neutral,Marketing Qualification,No,
iVision,https://ivision.com/,System Integrator,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,66000000,7,Neutral,Marketing Qualification,No,
iLink Digital,https://www.ilink-digital.com/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Numbers and Voice,No,No,501-1000,Yes,No,No,No,No,No,10800000,22,Neutral,Marketing Qualification,No,
IT Resource ,https://www.itrw.net/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,5100000,-5,Neutral,Marketing Qualification,No,
ConvergeOne,https://www.convergeone.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,No,No,No,No,730000000,2,Negative,Marketing Qualification,No,
Infused Innovations,https://www.infusedinnovations.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,2200000,31,Neutral,Marketing Qualification,No,
Global Data Consultants,https://gdcitsolutions.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,48900000,3,Neutral,Marketing Qualification,No,
Xylos,https://www.xylos.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,No,Yes,No,No,28800000,8,High,Marketing Qualification,No,
Senwill,https://www.senwill.com/,System Integrator,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,5200000,0,Neutral,Marketing Qualification,No,
RockIT,https://rockit-consulting.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,1100000,0,Neutral,Marketing Qualification,No,
EffVision,https://effvision.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,Yes,No,4300000,-10,Neutral,Marketing Qualification,No,
Softeq,https://www.softeq.com/,System Integrator,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,Yes,No,No,14100000,25,Neutral,Marketing Qualification,No,
Ifi Tech,https://ifi.tech/,System Integrator,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Numbers and Voice,No,No,51-200,Yes,No,Yes,No,Yes,Yes,4700000,-11,Neutral,Marketing Qualification,No,
ICS Complete,https://icscomplete.com/,System Integrator,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,23200000,18,Neutral,Marketing Qualification,No,
IT Partners,https://itpartners.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,2300000,11,Neutral,Marketing Qualification,No,
Mobiz Inc,https://mobizinc.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,6500000,66,Neutral,Marketing Qualification,No,
